Date,Year,Month,Day,Time,V1,V2,V3,A1,A2,A3,A_Average,PF1,PF2,PF3,PF_Average
1398/03/31 16:13:18,1398,03,31,16:13:18,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:20,1398,03,31,16:13:20,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:21,1398,03,31,16:13:21,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:23,1398,03,31,16:13:23,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:24,1398,03,31,16:13:24,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:26,1398,03,31,16:13:26,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:27,1398,03,31,16:13:27,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:29,1398,03,31,16:13:29,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:30,1398,03,31,16:13:30,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:31,1398,03,31,16:13:31,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:33,1398,03,31,16:13:33,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:34,1398,03,31,16:13:34,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:36,1398,03,31,16:13:36,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:37,1398,03,31,16:13:37,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:38,1398,03,31,16:13:38,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:40,1398,03,31,16:13:40,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:41,1398,03,31,16:13:41,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:42,1398,03,31,16:13:42,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:44,1398,03,31,16:13:44,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:46,1398,03,31,16:13:46,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:47,1398,03,31,16:13:47,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:48,1398,03,31,16:13:48,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:50,1398,03,31,16:13:50,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:51,1398,03,31,16:13:51,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:53,1398,03,31,16:13:53,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:54,1398,03,31,16:13:54,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:56,1398,03,31,16:13:56,0,0,0,0,0,0,0,0,null,0,undefined
